,State,Year,District,RegisteredUser
5514,uttar-pradesh,2022,kanpur nagar,1673173
5515,uttar-pradesh,2022,varanasi,1641943
5516,uttar-pradesh,2022,agra,1497144
5517,uttar-pradesh,2022,gorakhpur,1205580
5518,uttar-pradesh,2022,meerut,1127324
5519,uttar-pradesh,2022,bareilly,1025341
5520,uttarakhand,2018,dehradun,147998
5521,uttarakhand,2018,haridwar,104823
5522,uttarakhand,2018,udham singh nagar,100236
5523,uttarakhand,2018,nainital,49083
5524,uttarakhand,2018,pauri garhwal,20425
5525,uttarakhand,2018,tehri garhwal,13030
5526,uttarakhand,2018,almora,11367
5527,uttarakhand,2018,pithoragarh,8836
5528,uttarakhand,2018,chamoli,7493
5529,uttarakhand,2018,uttarkashi,5816
5530,uttarakhand,2018,dehradun,198296
5531,uttarakhand,2018,haridwar,140718
5532,uttarakhand,2018,udham singh nagar,132549
5533,uttarakhand,2018,nainital,65142
5534,uttarakhand,2018,pauri garhwal,28153
5535,uttarakhand,2018,tehri garhwal,18021
5536,uttarakhand,2018,almora,15473
5537,uttarakhand,2018,pithoragarh,12486
5538,uttarakhand,2018,chamoli,10502
5539,uttarakhand,2018,uttarkashi,8227
5540,uttarakhand,2018,dehradun,246477
5541,uttarakhand,2018,haridwar,174526
5542,uttarakhand,2018,udham singh nagar,162754
5543,uttarakhand,2018,nainital,79936
5544,uttarakhand,2018,pauri garhwal,36059
5545,uttarakhand,2018,tehri garhwal,23575
5546,uttarakhand,2018,almora,20152
5547,uttarakhand,2018,pithoragarh,16483
5548,uttarakhand,2018,chamoli,14112
5549,uttarakhand,2018,uttarkashi,10793
5550,uttarakhand,2018,dehradun,306969
5551,uttarakhand,2018,haridwar,217634
5552,uttarakhand,2018,udham singh nagar,200079
5553,uttarakhand,2018,nainital,98591
5554,uttarakhand,2018,pauri garhwal,45898
5555,uttarakhand,2018,tehri garhwal,30089
5556,uttarakhand,2018,almora,26282
5557,uttarakhand,2018,pithoragarh,21378
5558,uttarakhand,2018,chamoli,18391
5559,uttarakhand,2018,uttarkashi,14114
5560,uttarakhand,2019,dehradun,369578
5561,uttarakhand,2019,haridwar,262411
5562,uttarakhand,2019,udham singh nagar,238514
5563,uttarakhand,2019,nainital,118824
5564,uttarakhand,2019,pauri garhwal,56173
5565,uttarakhand,2019,tehri garhwal,37689
5566,uttarakhand,2019,almora,33092
5567,uttarakhand,2019,pithoragarh,26621
5568,uttarakhand,2019,chamoli,23274
5569,uttarakhand,2019,uttarkashi,17873
5570,uttarakhand,2019,dehradun,428353
5571,uttarakhand,2019,haridwar,299436
5572,uttarakhand,2019,udham singh nagar,266958
5573,uttarakhand,2019,nainital,137114
5574,uttarakhand,2019,pauri garhwal,65607
5575,uttarakhand,2019,tehri garhwal,45652
5576,uttarakhand,2019,almora,39593
5577,uttarakhand,2019,pithoragarh,32308
5578,uttarakhand,2019,chamoli,28063
5579,uttarakhand,2019,uttarkashi,21969
5580,uttarakhand,2019,dehradun,486157
5581,uttarakhand,2019,haridwar,334619
5582,uttarakhand,2019,udham singh nagar,292858
5583,uttarakhand,2019,nainital,153561
5584,uttarakhand,2019,pauri garhwal,73363
5585,uttarakhand,2019,tehri garhwal,52090
5586,uttarakhand,2019,almora,44182
5587,uttarakhand,2019,pithoragarh,36353
5588,uttarakhand,2019,chamoli,32036
5589,uttarakhand,2019,uttarkashi,25151
5590,uttarakhand,2019,dehradun,537026
5591,uttarakhand,2019,haridwar,368737
5592,uttarakhand,2019,udham singh nagar,319839
5593,uttarakhand,2019,nainital,169212
5594,uttarakhand,2019,pauri garhwal,81489
5595,uttarakhand,2019,tehri garhwal,58542
5596,uttarakhand,2019,almora,49664
5597,uttarakhand,2019,pithoragarh,40980
5598,uttarakhand,2019,chamoli,35948
5599,uttarakhand,2019,uttarkashi,28653
5600,uttarakhand,2020,dehradun,593420
5601,uttarakhand,2020,haridwar,408768
5602,uttarakhand,2020,udham singh nagar,351112
5603,uttarakhand,2020,nainital,186948
5604,uttarakhand,2020,pauri garhwal,90270
5605,uttarakhand,2020,tehri garhwal,66293
5606,uttarakhand,2020,almora,55964
5607,uttarakhand,2020,pithoragarh,46554
5608,uttarakhand,2020,chamoli,40668
5609,uttarakhand,2020,uttarkashi,32713
5610,uttarakhand,2020,dehradun,649026
5611,uttarakhand,2020,haridwar,448939
5612,uttarakhand,2020,udham singh nagar,383547
5613,uttarakhand,2020,nainital,206076
5614,uttarakhand,2020,pauri garhwal,101276
5615,uttarakhand,2020,tehri garhwal,75996
5616,uttarakhand,2020,almora,64523
5617,uttarakhand,2020,pithoragarh,53375
5618,uttarakhand,2020,chamoli,46467
5619,uttarakhand,2020,uttarkashi,37671
5620,uttarakhand,2020,dehradun,711303
5621,uttarakhand,2020,haridwar,491252
5622,uttarakhand,2020,udham singh nagar,418390
5623,uttarakhand,2020,nainital,227497
5624,uttarakhand,2020,pauri garhwal,112287
5625,uttarakhand,2020,tehri garhwal,85276
5626,uttarakhand,2020,almora,72829
5627,uttarakhand,2020,pithoragarh,60279
5628,uttarakhand,2020,chamoli,52184
5629,uttarakhand,2020,uttarkashi,42144
5630,uttarakhand,2020,dehradun,779564
5631,uttarakhand,2020,haridwar,537058
5632,uttarakhand,2020,udham singh nagar,456356
5633,uttarakhand,2020,nainital,249856
5634,uttarakhand,2020,pauri garhwal,123892
5635,uttarakhand,2020,tehri garhwal,94520
5636,uttarakhand,2020,almora,81020
5637,uttarakhand,2020,pithoragarh,67024
5638,uttarakhand,2020,chamoli,58039
5639,uttarakhand,2020,uttarkashi,46810
5640,uttarakhand,2021,dehradun,840361
5641,uttarakhand,2021,haridwar,580532
5642,uttarakhand,2021,udham singh nagar,492646
5643,uttarakhand,2021,nainital,269308
5644,uttarakhand,2021,pauri garhwal,133484
5645,uttarakhand,2021,tehri garhwal,102085
5646,uttarakhand,2021,almora,87354
5647,uttarakhand,2021,pithoragarh,72579
5648,uttarakhand,2021,chamoli,62779
5649,uttarakhand,2021,uttarkashi,50696
5650,uttarakhand,2021,dehradun,898504
5651,uttarakhand,2021,haridwar,622292
5652,uttarakhand,2021,udham singh nagar,528392
5653,uttarakhand,2021,nainital,288162
5654,uttarakhand,2021,pauri garhwal,143460
5655,uttarakhand,2021,tehri garhwal,109890
5656,uttarakhand,2021,almora,94196
5657,uttarakhand,2021,pithoragarh,78079
5658,uttarakhand,2021,chamoli,67712
5659,uttarakhand,2021,uttarkashi,54582
5660,uttarakhand,2021,dehradun,963594
